040050900073002081800100070090000800400000006008000020030005008750800290009020050|Unfair|892|19 FullHouse·19 HiddenSingle·15 NakedSingle·1 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)·1 XY-Chain·1 FinnedX-Wing
134000009000007003000530001060010200002703600008050070400071000800300000200000187|Hard|1122|19 FullHouse·15 HiddenSingle·19 NakedSingle·2 NakedPair·1 LockedPair·3 LockedCandidatesType1(Pointing)·3 LockedCandidatesType2(Claiming)·1 W-Wing·1 Swordfish
950000046200008001000970000080306100002000500006109080000012000600700008710000054|Hard|822|21 FullHouse·14 HiddenSingle·18 NakedSingle·1 LockedPair·1 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)·1 Skyscraper·1 W-Wing
000390200000002600732015400065000004307000902100000730008150349001900000003074000|Unfair|856|21 FullHouse·8 HiddenSingle·20 NakedSingle·1 NakedTriple·1 LockedPair·1 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)·1 XY-Chain·1 HiddenRectangle
000012060600830700070009000307000010240000075050000209000400080004098007030170000|Extreme|1942|21 FullHouse·14 HiddenSingle·18 NakedSingle·1 NakedPair·1 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)·2 Skyscraper·1 XY-Wing·1 W-Wing·1 FinnedSwordfish·1 SuedeCoq·3 EmptyRectangle
309400002000008000000562003032000105004000300801000940400679000000300000500001604|Extreme|1902|21 FullHouse·11 HiddenSingle·21 NakedSingle·1 NakedPair·2 LockedPair·2 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)·1 Skyscraper·1 XYZ-Wing·2 XY-Chain·1 SashimiSwordfish·1 EmptyRectangle·1 HiddenRectangle
700023056520007090003100700850701600300000008006508017005006300060300071930810005|Hard|730|20 FullHouse·16 HiddenSingle·9 NakedSingle·2 LockedCandidatesType1(Pointing)·1 X-Wing·1 Swordfish
009010580280030010700400002000801900410090023007302000100004008030070045048020100|Hard|482|21 FullHouse·13 HiddenSingle·14 NakedSingle·1 LockedCandidatesType1(Pointing)·1 RemotePair
000076000046003090000240030450000300709000506003000078080032000070800420000610000|Extreme|1862|20 FullHouse·16 HiddenSingle·17 NakedSingle·2 LockedCandidatesType1(Pointing)·1 2-StringKite·4 XY-Chain·2 HiddenRectangle
004091030560000010001600204600020300100709006007050002408003700070000083010870400|Extreme|4236|21 FullHouse·10 HiddenSingle·18 NakedSingle·2 NakedTriple·2 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)·1 2-StringKite·1 W-Wing·1 XY-Chain·1 ContinuousNiceLoop·7 DiscontinuousNiceLoop·1 EmptyRectangle·2 AIC·1 SimpleColorsTrap
