008009010000400600060508207100690020000003000937000000250000000810005400000024000|863272400|SudokuUpVD|Medium|560|21 FullHouse·6 HiddenSingle·28 NakedSingle·1 NakedTriple·4 LockedCandidatesType1(Pointing)
100000024000040005000090016840076203700400000630000070000905048003600000000008000|164192320|SudokuUpVD|Medium|490|20 FullHouse·11 HiddenSingle·24 NakedSingle·1 NakedPair·2 LockedCandidatesType1(Pointing)
600009080001053006000000005020900040000000078700300050260005001004020000900100800|491370330|SudokuUpVD|Medium|384|20 FullHouse·12 HiddenSingle·24 NakedSingle·1 LockedPair
000920001080006000050040000008000070040100000003000800010200003800030017600090004|886776990|SudokuUpVD|Medium|882|19 FullHouse·17 HiddenSingle·22 NakedSingle·1 NakedTriple·8 LockedCandidatesType1(Pointing)
470250000500690400000000015000000003050006049000720060803400000010000000700300902|713834040|SudokuUpVD|Medium|460|21 FullHouse·3 HiddenSingle·31 NakedSingle·1 NakedPair·2 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
900700006028059030000000802003000000070460503000000040010000700000005020004080005|205904572|SudokuUpVD|Medium|478|21 FullHouse·12 HiddenSingle·24 NakedSingle·2 LockedPair·1 LockedCandidatesType1(Pointing)
060030007008200600040600001284070060005000070000061000050020000000008005071050084|676216760|SudokuUpVD|Medium|566|19 FullHouse·19 HiddenSingle·16 NakedSingle·1 NakedPair·2 LockedCandidatesType1(Pointing)
309050004072000000100000089900000000050020030000063700006001000007300002020005800|692700864|SudokuUpVD|Medium|458|19 FullHouse·19 HiddenSingle·19 NakedSingle·1 LockedPair
000039400000000000520000800690000008800000102030500760001006005000071000006000040|923546335|SudokuUpVD|Medium|462|21 FullHouse·17 HiddenSingle·20 NakedSingle·1 LockedTriple
000700106620000097009000000000410603300000708002070040800000900750900000003000080|284255147|SudokuUpVD|Medium|384|21 FullHouse·9 HiddenSingle·1 HiddenPair·26 NakedSingle
