000306000000000173050709000007000801081040620600000400000604090562000000000805000|1|Medium|600
080415030600700000070000010003200000710080025000007800030000060000001009060523070|2|Medium|556
041000700800500000705010008900000000080406020030000000500070301000008009002000040|3|Medium|392
700803002000000900400001007006080703000209000002030000800000004005000600300602008|4|Medium|598
300007100050010040800003902900001005006000300500600001108300007020040030005200006|5|Hard|592
410006080000030054003002100025060000900000003000090740000000500570080000040500028|6|Hard|1540
001060000400730005080000020003002006000080000600000400070000059800093702000010800|7|Medium|748
207000500000600900480030000600000400030000010005040000000520069001003000006001802|8|Extreme|2398
020000060105006402090008000300070000560000041000010003000500079709300804080000030|9|Hard|1056
006040070500302000000070040903405000000000020000601008080090000000004001090060030|10|Medium|492
007200000030900050009000008006150400000402700002008300500000800070001060003007200|11|Hard|984
400002006308000040009103000000380001006000500500021004000508700030000402600000008|12|Medium|470
100004007000280000000000300407000908020700010308000602005000400002003000900600005|13|Medium|488
004000000070000260000207003045800001908400705100003420800906000003000050000000900|14|Hard|610
500000070200079006000028500092403000000060000000205140004710000900850004010000008|15|Hard|816
007000000000600090012307460000035040003206100040790000096401870080003000000000200|16|Hard|722
800040071020000000000006800060210005003608900200070030005120000000000090300090004|17|Medium|554
508004700400250000000090200060000003003000100700000060005020000004013002006800901|18|Medium|574
007300000000020000208000605002063900070801040004250800901000564000040000000009100|19|Hard|736
050060030000000000600309005002400100108902604004006900300608002000000080080020010|20|Medium|486
005020009000407000309000006073005090000060000010800200100000802000608000500030600|21|Unfair|938
700100904040000080000800000007008000100900703000603200000002000070090050402006007|22|Medium|488
000080000602107400400000200020400000700050309000008640001000002004703501000000000|23|Medium|448
601094008000280031000000600430010060000000000060000029004000000590061000200050803|24|Medium|360
003200900500007081060800000800070000120050009000000002000004060640000008007001300|25|Medium|418
040050000005104300903008000300000126400000003156000009000600802002809600000020090|26|Medium|362
025000430080530106000000000008010900200000008093060500000000000906084070057000380|27|Hard|996
050700010200800070003000005700020009500601002100090000402000500080003000010008060|28|Hard|1124
000204600007030040000700000500040800070603050301090002000005000020070300003401200|29|Medium|420
900502006000000800070060400009104200030000010002906500023080050005000000800605001|30|Medium|376
000040700409001800080090054000700600200405008006000000520010070008600900004050000|31|Hard|840
005004906010200070007000000100070005070308020300060009000000500060007042208900000|32|Hard|1050
008000006700604300200800905000000100020753060005000000502007001007902003100000600|33|Unfair|926
060800050004300000003500420000043002010000047900180000056008000000001500020006080|34|Hard|830
070398000060000019000006300302107005000000000400503701004600000120000040000421090|35|Medium|402
000090260800702000040000090030501000600849001000206070070000010000607003015080000|36|Medium|366
700000008045009100010050000290000004070901020000000091030010000007300860800000005|37|Medium|714
001005400090200160000000000040080300720000005009070020000000000083004070005600280|38|Hard|678
004019520000000000090008010000706800802000009001805000030500070000000000015300940|39|Medium|544
407000059002080000800040700700000300003904600009000005008710004000030500160000203|40|Medium|446
000005140000060050003907060900000005000801000700000009010704300020000000045000600|41|Medium|642
300000000000145300000600040590060407600000005802070093020003000007894200000000001|42|Medium|316
001000200940500001000104060000001700002000800073800090060403000800006072007000000|43|Hard|714
000000002500307048000809000148000200007000800000000630000708100480002009200000000|44|Medium|598
000040090007000006800006503006100700500000002003007600604800905700000300090030020|45|Extreme|1880
060002800000074200007600500090000380008030100016000040009001400004760000003200010|46|Extreme|2646
010000000000201003000730650100000038730109020620000004053074000200506000000000000|47|Medium|420
800000000040060082063000400300098060002506900070240001007000320630020070000000005|48|Hard|852
000073000054000000001600000800500007709000302400001009000006400000000270003120090|49|Hard|668
050800019000020800020090000008006900200000001007100030000010093001070000580003040|50|Medium|454
000070950006000000800000002007609200000040005002738600400000001009000800078020000|51|Medium|498
000000020000904500000506017800000700640000092903000004410605000508109000030000000|52|Medium|790
010008902072030050600000007000021000006000100000680000700500008080000340504800060|53|Hard|730
300804900009000510002901000540000006000070000000000078000109000070000300001702009|54|Medium|538
000760200030040006860090074002000600400000007001000900620070059900080030008059000|55|Medium|562
005001803080000900090080150000300000003956700000008000059060040008000070107200600|56|Medium|496
900008005002305806000002010300000000025000390000000704080600000203504100700900003|57|Unfair|1536
702010900000007000060030010001400020004090100080001670010070080000900000007040003|58|Hard|874
800500090250000076100020300000860000060010080000092000008050007530000019090003002|59|Medium|506
610980000000506040000000000002000480079000600061000200000000000080471000000859071|60|Medium|334
200060004809405020000000000070009040000503000010800030000000000140907305900050001|61|Medium|474
500000001407009200080000030900680500200405003005031007090000010002900305700000004|62|Medium|572
900000006500800000840020090000401300000000907006208000030040000002006001600000005|63|Unfair|1702
080005060000000200160000004400000350500208007073000001300000095009300000050907030|64|Hard|1010
003000100006800073000000080000401090025060300040705000030000000970504800008000400|65|Medium|424
043000050001004800080002040700000006010000020400010003060200010008901500090000230|66|Extreme|1900
500809000800000903001030600000010000092000710000093000004000800600002001000701004|67|Medium|378
000803090130060005004000000050000020200709000070100050008000200500030048040607000|68|Medium|504
000000600109008000070030820900800072006010400750004006027060040000500703005000000|69|Medium|486
089410050000000000340060902004109007000000000100803000205070048000000000010086230|70|Hard|606
000409001600020000002080000009000070350007049080000000000040700000650003500200090|71|Medium|462
700000000050000020021408037090520040000300000080041060540607910010000080000000004|72|Hard|1336
002078009600003000000000500004062900070000065008730100003000700000000006400120000|73|Medium|438
000000016007000300826900400000050001000368000900010000003004692002000100760000003|74|Medium|650
024000860005003009000000050000208000600040001000901000080070000107500400090000170|75|Medium|508
008020300090000007400001009820005043000104000740300098000200001900000030006030800|76|Extreme|1906
600000005023750000000103000308000007501070902200000400000406000000092150800000003|77|Medium|690
040080050800090010000500007207001004030000080100400002600200000080050001090000070|78|Medium|428
